,frame.time_epoch,frame.len,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ipv6.src,ipv6.dst,output
357039,1540451872.3083134,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,175,0,0,1
15385,1540446933.5245662,74,1,8,21,65,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,0,0,0,0,1
102759,1540450147.8947024,102,4,14,18,29,50389.0,80.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1
52726,1540448321.521684,74,8,7,8,59,49138.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
169569,1540451089.633971,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,51,0,0,1
706205,1540453285.5452619,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,180,0,0,1
26018,1540447329.106889,86,3,7,20,54,0.0,0.0,1360.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
491966,1540452418.545442,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,84,0,0,1
605707,1540452879.784878,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,68,0,0,1
413994,1540452103.1235662,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,35,0,0,1
522094,1540452541.0567632,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,179,0,0,1
191193,1540451201.9810774,60,9,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,4,167,0,0,1
236842,1540451386.095722,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,105,0,0,1
730869,1540453385.1815429,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,204,0,0,1
419217,1540452123.900998,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,107,0,0,1
123961,1540450878.461912,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,120,0,0,1
541410,1540452619.090251,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,141,0,0,1
393682,1540452020.98949,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,160,0,0,1
278569,1540451554.29857,82,10,7,4,33,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
217545,1540451308.4669259,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,223,0,0,1
438916,1540452203.7752461,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,87,0,0,1
48764,1540448174.5308418,102,4,14,18,29,49039.0,80.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1
135548,1540450935.5342462,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,33,0,0,1
707755,1540453291.8355632,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,204,0,0,1
681936,1540453187.895634,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,52,0,0,1
367279,1540451913.8252132,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,1,0,0,0
83048,1540449416.297294,82,10,7,4,53,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
746253,1540453447.360841,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,111,0,0,1
415188,1540452107.511395,102,4,20,18,13,54191.0,21047.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1
495247,1540452431.9327805,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,190,0,0,1
589452,1540452813.98975,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,77,0,0,0
725250,1540453362.3817012,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,70,0,0,1
573434,1540452748.770586,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,83,0,0,1
651208,1540453063.465123,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,25,0,0,0
276581,1540451546.130745,60,5,29,9,4,21897.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
113525,1540450541.664459,74,14,7,16,58,42688.0,8080.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
579055,1540452771.776119,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,166,0,0,1
264564,1540451498.0081027,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,128,0,0,1
635125,1540452998.802178,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,130,0,0,1
492128,1540452419.3725948,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,58,0,0,1
714906,1540453320.801369,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,197,0,0,1
545906,1540452637.649844,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,29,0,0,1
187676,1540451187.4577544,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,216,0,0,1
307586,1540451672.1862428,74,8,7,8,59,51438.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
739507,1540453420.3880198,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,127,0,0,1
607673,1540452887.8877661,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,28,0,0,0
120221,1540450791.214081,70,5,7,9,1,0.0,0.0,47236.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
592203,1540452824.947337,73,7,7,12,1,0.0,0.0,3130.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
259608,1540451478.1312268,90,7,7,12,75,0.0,0.0,23091.0,32100.0,0.0,0.0,0.0,0,0,0,0,0,0,1
172812,1540451102.878162,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,86,0,0,1
219828,1540451317.067141,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,92,0,0,1
352384,1540451853.692931,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,201,0,0,1
747150,1540453451.353341,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,211,0,0,1
603881,1540452872.384922,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,3,0,0,1
530884,1540452576.46642,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,231,0,0,0
486666,1540452396.759208,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,197,0,0,1
407061,1540452074.996495,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,162,0,0,1
558303,1540452687.6743069,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,223,0,0,1
388603,1540452000.1979358,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,63,0,0,1
693527,1540453234.68299,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,73,0,0,1
502341,1540452460.957886,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,67,0,0,1
754013,1540453478.4198668,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,57,0,0,1
324558,1540451740.7754724,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,75,0,0,0
62429,1540448667.8052769,82,10,7,4,53,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
285056,1540451580.9893012,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,76,0,0,1
748169,1540453454.8081956,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,106,0,0,1
461668,1540452295.9418876,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,115,0,0,1
494856,1540452429.9176948,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,15,0,0,1
567191,1540452723.768022,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,189,0,0,1
605332,1540452878.446792,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,35,0,0,1
681920,1540453187.867152,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,241,0,0,0
244169,1540451415.4819582,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,223,0,0,1
151661,1540451017.768322,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,221,0,0,1
125198,1540450883.27506,86,4,16,18,24,15095.0,8280.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1
29696,1540447466.306775,82,10,7,4,33,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,0
638921,1540453014.245032,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,108,0,0,0
723732,1540453356.142023,118,4,12,18,67,0.0,0.0,11304.0,32100.0,3.0,0.0,0.0,0,0,0,0,0,0,1
57039,1540448477.806001,86,3,7,20,54,0.0,0.0,1500.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
272897,1540451531.507166,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,8,0,0,1
559071,1540452690.696528,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,225,0,0,1
116479,1540450652.2698376,77,15,7,19,54,0.0,0.0,1401.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
496944,1540452439.101726,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,138,0,0,1
506966,1540452479.385918,74,14,7,16,11,36913.0,443.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
124696,1540450881.518755,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,252,0,0,0
608396,1540452890.87745,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,159,0,0,1
159135,1540451047.333138,74,5,1,9,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
652974,1540453070.7275438,83,5,7,9,1,0.0,0.0,34989.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
3764,1540446514.801358,82,10,7,4,59,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
333119,1540451775.0829198,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,243,0,0,1
356060,1540451868.1729212,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,58,0,0,1
135528,1540450935.506383,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,28,0,0,1
414806,1540452106.1805892,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,103,0,0,1
710850,1540453304.9950411,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,211,0,0,1
295577,1540451623.5145402,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,116,0,0,1
69242,1540448912.29821,86,4,16,18,24,9295.0,80.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1
502004,1540452459.0973392,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,249,0,0,1
6792,1540446619.647569,82,14,7,16,33,0.0,0.0,50861.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
7194,1540446633.4830668,590,6,4,17,36,0.0,0.0,68.0,67.0,0.0,0.0,0.0,0,0,0,0,0,0,1
84071,1540449453.799865,110,4,16,18,24,0.0,0.0,32761.0,10240.0,3.0,0.0,0.0,0,0,0,0,0,0,1
119784,1540450776.739856,60,2,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
513546,1540452506.0159948,60,5,1,9,76,21897.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
650728,1540453062.101041,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,157,0,0,1
71943,1540449007.366778,84,15,7,19,54,0.0,0.0,4250.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
274305,1540451537.4921188,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,4,0,0,1
460939,1540452292.907369,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,153,0,0,1
480608,1540452372.69784,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,75,0,0,1
335841,1540451786.3386939,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,151,0,0,1
238501,1540451393.221617,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,151,0,0,1
657151,1540453088.0166569,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,243,0,0,1
244996,1540451419.2485974,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,19,0,0,1
357139,1540451872.4849699,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,130,0,0,1
748347,1540453455.654624,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,118,0,0,1
576497,1540452761.316589,82,14,7,16,11,0.0,0.0,50861.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
668488,1540453133.805613,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,32,0,0,1
409203,1540452083.3664348,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,85,0,0,1
762368,1540453511.889745,70,5,7,9,1,0.0,0.0,56928.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,0
564809,1540452713.8170938,82,10,7,4,53,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
523984,1540452548.3408554,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,147,0,0,1
618443,1540452931.5168679,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,225,0,0,1
269280,1540451516.8860724,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,178,0,0,1
644388,1540453036.4279964,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,166,0,0,1
327560,1540451753.120284,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,249,0,0,1
246313,1540451424.5124724,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,66,0,0,1
764080,1540453519.1173315,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,127,0,0,1
12343,1540446818.578927,74,8,7,8,37,49274.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
311588,1540451688.195914,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,125,0,0,1
123137,1540450875.236665,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,211,0,0,1
214103,1540451294.2321026,86,3,7,20,54,0.0,0.0,1847.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
675862,1540453163.0751555,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,89,0,0,1
631256,1540452983.3830106,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,112,0,0,1
588686,1540452810.94147,74,1,8,21,65,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,0,0,0,0,0
284000,1540451576.08425,60,18,8,3,65,23.0,21897.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
182121,1540451165.518004,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,45,0,0,1
259121,1540451476.1957958,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,160,0,0,1
627517,1540452967.8057652,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,106,0,0,1
49434,1540448200.3606682,73,15,7,19,54,0.0,0.0,3700.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
681331,1540453185.793351,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,57,0,0,0
527793,1540452564.080818,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,139,0,0,1
421107,1540452131.150365,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,242,0,0,1
42583,1540447942.395296,82,9,7,1,63,0.0,0.0,46818.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
594761,1540452835.723973,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,129,0,0,1
588474,1540452810.024343,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,150,0,0,1
217123,1540451306.53104,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,48,0,0,1
174321,1540451108.799579,82,10,7,4,69,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,0
550150,1540452654.422762,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,136,0,0,1
83293,1540449425.306769,82,10,7,4,53,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
550424,1540452655.448848,60,17,8,22,65,23.0,21897.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
286364,1540451586.128145,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,14,0,0,1
429379,1540452165.161768,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,190,0,0,1
259526,1540451477.424546,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,86,0,0,1
369236,1540451921.3955429,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,250,0,0,1
274030,1540451536.364385,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,215,0,0,1
474279,1540452346.842386,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,223,0,0,0
36951,1540447735.2983296,82,10,7,4,33,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
150852,1540451014.612794,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,73,0,0,0
345495,1540451825.3377671,60,10,7,4,19,5284.0,8280.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
206282,1540451262.7988029,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,66,0,0,1
166833,1540451078.283985,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,32,0,0,1
469151,1540452326.0233011,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,192,0,0,0
500202,1540452451.829632,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,70,0,0,1
560556,1540452696.747144,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,54,0,0,1
203134,1540451249.7150538,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,141,0,0,0
747890,1540453453.703251,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,61,0,0,0
156080,1540451035.538818,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,160,0,0,1
138611,1540450947.8009439,82,10,7,4,53,0.0,0.0,32761.0,10240.0,0.0,0.0,0.0,0,0,0,0,0,0,1
